,precision,recall,f1-score,support
T-shirt/top,0.8769230769230769,0.798,0.8356020942408376,1000.0
Trouser,0.9958890030832477,0.969,0.9822605169792195,1000.0
Pullover,0.93173198482933,0.737,0.8230039084310441,1000.0
Dress,0.8531021897810219,0.935,0.892175572519084,1000.0
Coat,0.7834507042253521,0.89,0.8333333333333334,1000.0
Sandal,0.9859719438877755,0.984,0.984984984984985,1000.0
Shirt,0.6903225806451613,0.749,0.7184652278177458,1000.0
Sneaker,0.9492682926829268,0.973,0.9609876543209876,1000.0
Bag,0.9800796812749004,0.984,0.9820359281437125,1000.0
Ankle boot,0.9755600814663951,0.958,0.9667003027245207,1000.0
accuracy,0.8977,0.8977,0.8977,0.8977
macro avg,0.9022299538799189,0.8977,0.8979549523495469,10000.0
weighted avg,0.9022299538799189,0.8977,0.897954952349547,10000.0
