,precision,recall,f1-score,support
Cachorro,0.586784140969163,0.696652719665272,0.6370157819225251,956.0
Cavalo,0.5380952380952381,0.6348314606741573,0.5824742268041238,534.0
Elefante,0.5707070707070707,0.44140625,0.4977973568281938,256.0
Borboleta,0.8,0.6009852216748769,0.6863572433192686,406.0
Galinha,0.6696165191740413,0.7082683307332294,0.6884003032600455,641.0
Gato,0.5370370370370371,0.19141914191419143,0.2822384428223844,303.0
Vaca,0.44325481798715205,0.5686813186813187,0.4981949458483754,364.0
Ovelha,0.5166163141993958,0.47107438016528924,0.49279538904899134,363.0
Aranha,0.7538601271571299,0.8097560975609757,0.7808090310442145,1025.0
Esquilo,0.5673758865248227,0.4134366925064599,0.47832585949177875,387.0
accuracy,0.6192932187201529,0.6192932187201529,0.6192932187201529,0.6192932187201529
macro avg,0.5983347151851051,0.553651161357577,0.5624408580389901,5235.0
weighted avg,0.6212633221100359,0.6192932187201529,0.6109985448498718,5235.0
