,precision,recall,f1-score,support
Cachorro,0.535036496350365,0.7667364016736402,0.6302665520206363,956.0
Cavalo,0.7085308056872038,0.5599250936329588,0.6255230125523012,534.0
Elefante,0.56353591160221,0.3984375,0.4668192219679634,256.0
Borboleta,0.7916666666666666,0.6551724137931034,0.7169811320754716,406.0
Galinha,0.7268445839874411,0.7223088923556942,0.7245696400625978,641.0
Gato,0.37344398340248963,0.297029702970297,0.33088235294117646,303.0
Vaca,0.45495495495495497,0.554945054945055,0.5,364.0
Ovelha,0.5913978494623656,0.45454545454545453,0.514018691588785,363.0
Aranha,0.8488636363636364,0.728780487804878,0.784251968503937,1025.0
Esquilo,0.4966292134831461,0.5710594315245479,0.53125,387.0
accuracy,0.6280802292263611,0.6280802292263611,0.6280802292263611,0.6280802292263611
macro avg,0.6090904101960479,0.5708940433245628,0.5824562571712868,5235.0
weighted avg,0.6451107663688251,0.6280802292263611,0.6284453615789233,5235.0
