,precision,recall,f1-score,support
Cachorro,0.4140730717185386,0.6401673640167364,0.5028759244042728,956.0
Cavalo,0.37037037037037035,0.5243445692883895,0.43410852713178294,534.0
Elefante,0.3645833333333333,0.13671875,0.19886363636363635,256.0
Borboleta,0.7597597597597597,0.6231527093596059,0.6847090663058186,406.0
Galinha,0.7193763919821826,0.5039001560062403,0.5926605504587156,641.0
Gato,0.3888888888888889,0.0231023102310231,0.04361370716510903,303.0
Vaca,0.4036363636363636,0.30494505494505497,0.3474178403755869,364.0
Ovelha,0.35687732342007433,0.2644628099173554,0.3037974683544304,363.0
Aranha,0.570281124497992,0.8312195121951219,0.6764589122667726,1025.0
Esquilo,0.5373134328358209,0.09302325581395349,0.15859030837004406,387.0
accuracy,0.4976122254059217,0.4976122254059217,0.4976122254059217,0.4976122254059217
macro avg,0.48851600604433243,0.39450364917734804,0.3943095941196169,5235.0
weighted avg,0.5049340184552887,0.4976122254059217,0.4634303886313649,5235.0
