,precision,recall,f1-score,support
Cachorro,0.5459418070444104,0.74581589958159,0.6304155614500442,956.0
Cavalo,0.6309751434034416,0.6179775280898876,0.6244087038789026,534.0
Elefante,0.63,0.4921875,0.5526315789473685,256.0
Borboleta,0.8419243986254296,0.603448275862069,0.703012912482066,406.0
Galinha,0.6347150259067358,0.7644305772230889,0.6935598018400566,641.0
Gato,0.5128205128205128,0.132013201320132,0.2099737532808399,303.0
Vaca,0.5436893203883495,0.46153846153846156,0.49925705794947994,364.0
Ovelha,0.5433070866141733,0.38016528925619836,0.4473257698541329,363.0
Aranha,0.7742857142857142,0.7931707317073171,0.7836144578313253,1025.0
Esquilo,0.49557522123893805,0.5788113695090439,0.533969010727056,387.0
accuracy,0.6278892072588348,0.6278892072588348,0.6278892072588348,0.6278892072588348
macro avg,0.6153234230327704,0.5569558834087788,0.5678168608241272,5235.0
weighted avg,0.6312804584086498,0.6278892072588348,0.6160767872967589,5235.0
