,precision,recall,f1-score,support
Cachorro,0.5,0.7343096234309623,0.5949152542372881,956.0
Cavalo,0.5831903945111492,0.6367041198501873,0.6087735004476276,534.0
Elefante,0.6145833333333334,0.4609375,0.5267857142857143,256.0
Borboleta,0.7361111111111112,0.6527093596059114,0.6919060052219321,406.0
Galinha,0.7465277777777778,0.6708268330733229,0.7066557107641742,641.0
Gato,0.4382716049382716,0.23432343234323433,0.3053763440860215,303.0
Vaca,0.541795665634675,0.4807692307692308,0.5094614264919942,364.0
Ovelha,0.6235294117647059,0.4380165289256198,0.5145631067961165,363.0
Aranha,0.739357080799305,0.8302439024390244,0.7821691176470589,1025.0
Esquilo,0.6724890829694323,0.3979328165374677,0.5,387.0
accuracy,0.623686723973257,0.623686723973257,0.623686723973257,0.623686723973257
macro avg,0.6195855462839761,0.5536773346974961,0.5740606179977927,5235.0
weighted avg,0.6301027313572718,0.623686723973257,0.6155767084476294,5235.0
