,precision,recall,f1-score,support
Cachorro,0.5223880597014925,0.7688284518828452,0.6220905628438426,956.0
Cavalo,0.5451664025356577,0.6441947565543071,0.590557939914163,534.0
Elefante,0.5578231292517006,0.3203125,0.40694789081885857,256.0
Borboleta,0.7054263565891473,0.6724137931034483,0.6885245901639344,406.0
Galinha,0.6764275256222547,0.7207488299531981,0.6978851963746223,641.0
Gato,0.5221238938053098,0.19471947194719472,0.28365384615384615,303.0
Vaca,0.4847560975609756,0.4368131868131868,0.4595375722543353,364.0
Ovelha,0.5735294117647058,0.4297520661157025,0.49133858267716535,363.0
Aranha,0.8213096559378469,0.7219512195121951,0.7684319833852544,1025.0
Esquilo,0.5109289617486339,0.48320413436692505,0.49667994687915007,387.0
accuracy,0.6106972301814708,0.6106972301814708,0.6106972301814708,0.6106972301814708
macro avg,0.5919879494517725,0.5392938410249003,0.5505648111465172,5235.0
weighted avg,0.6180965713763075,0.6106972301814708,0.6022107339320566,5235.0
