,precision,recall,f1-score,support
Cachorro,0.5976597659765976,0.694560669456067,0.6424770198355104,956.0
Cavalo,0.7517564402810304,0.601123595505618,0.668054110301769,534.0
Elefante,0.6115702479338843,0.578125,0.5943775100401606,256.0
Borboleta,0.7934426229508197,0.5960591133004927,0.680731364275668,406.0
Galinha,0.6137142857142858,0.8377535101404057,0.7084432717678101,641.0
Gato,0.4748201438848921,0.21782178217821782,0.2986425339366516,303.0
Vaca,0.5457317073170732,0.49175824175824173,0.5173410404624278,364.0
Ovelha,0.5531914893617021,0.5730027548209367,0.5629228687415426,363.0
Aranha,0.7633517495395948,0.8087804878048781,0.7854097584083373,1025.0
Esquilo,0.5260115606936416,0.4702842377260982,0.4965893587994543,387.0
accuracy,0.6448901623686724,0.6448901623686724,0.6448901623686724,0.6448901623686724
macro avg,0.6231250013653522,0.5869269392690956,0.5954988836569332,5235.0
weighted avg,0.6445498746668615,0.6448901623686724,0.636860659335531,5235.0
